; TAZ,COUNTY,CITY,TOTHH,TOTPOP,TOTEMP,EMPEDU,EMPFOO,EMPGOV,EMPIND,EMPMED,EMPOFC,EMPOTH,EMPRET,EMPAGR
325,Fresno,Coalinga,203.0,602.0,967.0,829.0,36.0,0.0,0.0,89.0,1.0,0.0,12.0,0.0
326,Fresno,Coalinga,253.0,809.0,78.0,0.0,3.0,0.0,0.0,8.0,43.0,1.0,23.0,0.0
327,Fresno,Coalinga,167.0,591.0,289.47049019188853,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,286.47049019188853
328,Fresno,Coalinga,498.0,1424.0,258.0341894952776,106.0,0.0,0.0,6.0,21.0,72.0,52.0,0.0,1.034189495277576
329,Fresno,Coalinga,162.0,434.0,377.02352880896,5.0,114.0,139.02352880896,11.0,28.0,48.0,11.0,21.0,0.0
330,Fresno,Coalinga,236.0,753.0,39.0,0.0,11.0,5.0,0.0,5.0,4.0,0.0,14.0,0.0
331,Fresno,Coalinga,148.0,457.0,237.4786529338861,0.0,24.0,33.0,8.0,30.0,17.0,21.0,90.0,14.478652933886066
332,Fresno,Coalinga,357.0,1096.0,26.034189495277577,0.0,0.0,0.0,6.0,14.0,2.0,0.0,3.0,1.034189495277576
333,Fresno,Coalinga,449.0,952.0,198.0,0.0,39.0,0.0,27.0,53.0,6.0,4.0,69.0,0.0
334,Fresno,Coalinga,297.0,1101.0,58.0,0.0,3.0,0.0,49.0,6.0,0.0,0.0,0.0,0.0
335,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,Fresno,Coalinga,679.0,2187.0,133.0,0.0,25.0,0.0,11.0,20.0,5.0,2.0,70.0,0.0
337,Fresno,Coalinga,46.0,122.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
338,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Fresno,Coalinga,310.0,845.0,235.32488567887515,0.0,10.0,0.0,145.0,8.0,2.0,0.0,0.0,70.32488567887516
340,Fresno,Coalinga,15.0,54.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
341,Fresno,Coalinga,7.0,15.0,4077.5215180135906,0.0,0.0,1459.0,0.0,2508.0,0.0,4.0,0.0,106.52151801359031
342,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Fresno,Unincorporated,0.0,0.0,3.1351302739700664,0.0,3.1351302739700664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,Fresno,Unincorporated,22.0,67.0,0.25546435840000004,0.0,0.0,0.25546435840000004,0.0,0.0,0.0,0.0,0.0,0.0
354,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,Fresno,Firebaugh,124.0,309.0,32.51284242916364,0.0,0.0,0.0,1.0,7.0,0.0,0.0,9.0,15.512842429163635
372,Fresno,Firebaugh,1050.0,3445.0,100.0,2.0,0.0,0.0,6.0,51.0,39.0,0.0,2.0,0.0
373,Fresno,Firebaugh,121.0,351.0,19.0,0.0,2.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0
