TAZ,SOI,Base_EMP,transit_skim,IDX_Transit,sov_skim,IDX_SOV
1181,Fresno,140.0,36777.0,0.40229885057471265,201355.12805340663,0.7650602409638554
1182,Fresno,65.0,19914.0,0.2771392081736909,196918.7156722038,0.7218875502008032
1183,Fresno,110.0,0.0,0.0,195006.2575514383,0.7048192771084337
1184,Fresno,169.0,0.0,0.0,193760.25179799667,0.695281124497992
1185,Fresno,93.0,0.0,0.0,191674.99582968059,0.6741967871485943
1186,Fresno,150.0,0.0,0.0,190811.6800781716,0.6636546184738956
1187,Fresno,96.0,0.0,0.0,182872.94676773564,0.589859437751004
1188,Fresno,0.0,0.0,0.0,183204.93623914768,0.5943775100401606
1189,Fresno,0.0,0.0,0.0,181760.40691771588,0.5823293172690763
1190,Fresno,1382.0,12048.0,0.1966794380587484,206686.21616065688,0.8192771084337349
1191,Fresno,610.0,45705.0,0.45721583652618136,206506.60793361947,0.8167670682730924
1192,Fresno,133.0,73754.0,0.6628352490421456,205101.90500652854,0.8072289156626506
1193,Fresno,134.0,0.0,0.0,202838.70802206485,0.7841365461847389
1194,Fresno,107.0,0.0,0.0,206185.87340305725,0.8142570281124498
1195,Fresno,402.0,15076.0,0.23243933588761176,197736.23456732742,0.7304216867469879
1196,Fresno,142.0,55936.0,0.5325670498084292,203723.27082086678,0.7921686746987951
1197,Fresno,647.0,17128.0,0.24904214559386972,201016.0981107584,0.7610441767068273
1198,Fresno,562.0,14895.0,0.22988505747126436,199034.09046584327,0.7419678714859438
1199,Fresno,233.0,0.0,0.0,193510.91624116938,0.6917670682730924
1200,Fresno,273.0,12227.0,0.1979565772669221,196091.75475070224,0.713855421686747
1201,Fresno,428.0,0.0,0.0,194763.0010635676,0.7013052208835341
1202,Fresno,21.0,0.0,0.0,190966.1961038326,0.6661646586345381
1203,Fresno,64.0,0.0,0.0,191214.89534110617,0.6686746987951807
1204,Fresno,203.0,0.0,0.0,188640.51231459714,0.6445783132530121
1205,Fresno,611.0,0.0,0.0,197178.2909388176,0.7254016064257028
1206,Fresno,340.0,0.0,0.0,197798.33547743835,0.7319277108433735
1207,Fresno,0.0,9511.0,0.17113665389527458,207305.5874351883,0.8268072289156626
1208,Fresno,191.0,12557.0,0.20178799489144317,201983.95637633308,0.7735943775100401
1209,Fresno,2544.0,0.0,0.0,195878.20848086808,0.7118473895582329
1210,Fresno,0.0,0.0,0.0,195356.7261028292,0.7063253012048193
1211,Fresno,164.0,0.0,0.0,194990.0362749826,0.7043172690763052
1212,Fresno,55.0,0.0,0.0,189831.44155878553,0.6541164658634538
1213,Fresno,228.0,0.0,0.0,190581.01632897047,0.661144578313253
1214,Fresno,0.0,0.0,0.0,188823.6869814542,0.6460843373493976
1215,Fresno,0.0,0.0,0.0,184572.85484857636,0.608433734939759
1216,Fresno,24.0,0.0,0.0,185171.31760518617,0.6139558232931727
1217,,0.0,0.0,0.0,0.0,0.0
1218,,0.0,0.0,0.0,0.0,0.0
1219,,0.0,0.0,0.0,0.0,0.0
1220,,0.0,0.0,0.0,0.0,0.0
1221,,0.0,0.0,0.0,0.0,0.0
1222,,0.0,0.0,0.0,0.0,0.0
1223,,0.0,0.0,0.0,0.0,0.0
