parcelid,SOI,COMMUNITY,TAZ,HU_NET,EMP_NET,TOTAL_SCORE,TAZ_HU_Target,TAZ_EMP_Target,SOI_HU_P,SOI_EMP_P,DEV,DEV_TAZ,DEV_SOI,SOI_HU_Target,SOI_EMP_Target
21368,Clovis, ,160,0.95753285472,0.0,7.440866444107821,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
21301,Clovis, ,160,6.428522929280001,0.0,7.3240274619029115,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407138,Clovis, ,258,0.07924032158,0.0,6.735191405195656,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403089,Clovis, ,272,0.03890762092,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403090,Clovis, ,272,0.53903569552,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403091,Clovis, ,272,0.1513103438,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403092,Clovis, ,272,0.043659630139999996,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403093,Clovis, ,272,0.91930988968,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403094,Clovis, ,272,0.28329809522,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403095,Clovis, ,272,0.11178960646,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
403096,Clovis, ,272,0.14693543858,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405423,Clovis, ,272,0.08330253918,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405424,Clovis, ,272,0.22620908506,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405425,Clovis, ,272,0.30908826032,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405426,Clovis, ,272,0.8565797682399999,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405427,Clovis, ,272,0.11269275976,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405428,Clovis, ,272,0.32082905526,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405429,Clovis, ,272,0.12805662841999998,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405430,Clovis, ,272,0.17208208472,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405431,Clovis, ,272,0.49472500042,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405432,Clovis, ,272,0.67091221792,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405433,Clovis, ,272,0.18612580616,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405434,Clovis, ,272,0.25736209142,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406173,Clovis, ,272,0.1271389672,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406174,Clovis, ,272,0.70772469096,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406175,Clovis, ,272,0.62436385452,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406176,Clovis, ,272,0.16622008241999994,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406177,Clovis, ,272,0.97999893768,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406178,Clovis, ,272,0.8682937690000001,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406179,Clovis, ,272,0.15369054134,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406180,Clovis, ,272,0.98000047824,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406181,Clovis, ,272,0.8808229406200001,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
